               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1085,            0.048753,                   0,          0.00091787,             0.24464,          0.00065254,          0.00014674,            0.094204,            0.024136,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.090271,            0.028526,                   0,           0.0023349,             0.62232,           0.0050119,           0.0012311,            0.079451,            0.014129,                   0,            0.053974,           0.0049738,           0.0049738
                   2,            0.082304,             0.02415,                   0,           0.0027858,             0.74249,            0.048453,            0.010566,            0.076952,            0.010901,                   0,            0.030319,           0.0073188,           0.0073188
                   3,             0.07507,            0.020759,                   0,            0.010006,             0.75107,             0.15843,            0.044619,            0.077263,           0.0098871,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.073726,            0.018954,                   0,           0.0088448,             0.76395,             0.25442,            0.084869,            0.066144,            0.010416,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.068996,            0.019806,                   0,             0.55878,             0.39056,             0.41653,              0.1496,             0.06143,            0.010516,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.057963,            0.021819,                   0,             0.32098,             0.39056,             0.31564,             0.11436,             0.05466,            0.010722,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.059037,            0.019142,                   0,             0.33139,             0.38077,             0.26868,            0.071548,            0.058253,           0.0095543,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.057131,            0.016572,                   0,             0.31341,             0.43777,             0.26686,            0.068921,             0.05864,           0.0090405,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.059961,            0.017847,                   0,             0.56879,             0.56223,             0.53298,             0.20592,            0.045205,           0.0099392,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.051225,            0.016399,                   0,             0.59497,             0.57082,              0.5617,             0.19369,            0.049122,           0.0089299,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,              0.0496,             0.01621,                   0,             0.67789,             0.67743,             0.66606,             0.25029,            0.046113,           0.0087627,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.047898,            0.015673,                   0,             0.64561,              0.6867,             0.71645,              0.3352,             0.04147,            0.008526,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.046001,            0.015121,                   0,             0.70381,              0.6935,             0.71617,             0.26946,            0.044483,           0.0079178,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.047121,            0.013668,                   0,             0.69639,             0.77253,             0.76291,             0.31868,            0.041181,           0.0075302,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,             0.04455,             0.01297,                   0,             0.76302,             0.77384,             0.81451,             0.40033,            0.040268,           0.0072957,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.043911,            0.014148,                   0,             0.79983,             0.73391,             0.81256,             0.40336,            0.036974,           0.0070638,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.042474,            0.013444,                   0,              0.7522,             0.82833,             0.80275,             0.39994,            0.039637,             0.00655,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.040362,            0.012892,                   0,             0.84696,             0.83131,             0.87635,             0.45796,            0.035835,           0.0063799,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.040726,            0.011949,                   0,             0.83303,             0.81368,             0.85741,             0.43405,            0.036674,           0.0063041,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.038526,            0.010935,                   0,             0.81944,             0.80687,              0.8429,             0.43878,             0.03614,           0.0061279,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.038327,            0.010428,                   0,             0.87993,             0.79399,             0.88654,             0.45931,            0.036042,            0.005968,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.038059,            0.011123,                   0,             0.84318,              0.8769,             0.90514,             0.44538,            0.035357,            0.005724,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.037139,            0.011798,                   0,             0.84818,              0.8927,             0.92173,             0.45536,            0.034575,           0.0056579,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.037238,             0.01008,                   0,             0.87224,             0.91845,              0.9283,              0.5241,            0.032072,           0.0055457,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.035887,            0.010831,                   0,             0.93152,             0.87124,             0.94351,             0.52869,            0.031949,           0.0054853,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.034742,            0.010965,                   0,             0.91002,             0.91149,             0.94935,              0.5565,            0.030443,            0.005484,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.035582,            0.011448,                   0,             0.94071,             0.88525,             0.94781,             0.56224,            0.030127,           0.0053758,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.035356,            0.010812,                   0,             0.94781,             0.87983,             0.94937,             0.56819,            0.029905,           0.0053164,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.034273,            0.010632,                   0,             0.93487,             0.86242,             0.93443,             0.53509,             0.03226,           0.0053075,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.034817,             0.00988,                   0,             0.93604,               0.897,             0.94843,             0.57396,            0.028478,           0.0052561,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.032378,             0.01107,                   0,              0.9344,             0.90129,             0.95588,             0.58892,            0.029176,           0.0052215,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.032055,            0.010946,                   0,             0.93001,             0.90129,             0.95036,             0.56803,            0.029544,            0.005206,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.032872,           0.0094484,                   0,             0.91364,             0.90815,             0.94918,             0.57613,            0.029911,           0.0051029,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.030896,            0.010015,                   0,             0.92203,             0.92275,              0.9567,             0.59778,            0.027116,           0.0050177,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,             0.03085,            0.009636,                   0,             0.93074,             0.92277,             0.95712,             0.59548,            0.028315,           0.0049698,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.031813,           0.0099065,                   0,             0.93416,             0.91338,             0.95863,             0.61172,             0.02672,           0.0049573,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.030434,           0.0099518,                   0,             0.93382,             0.92704,             0.96193,              0.6176,            0.026116,           0.0048884,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.028504,           0.0092489,                   0,             0.93886,             0.92704,             0.96472,             0.62519,            0.025879,           0.0048567,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.029673,            0.010181,                   0,             0.93155,             0.93449,             0.96562,             0.63078,            0.025566,           0.0048498,                   0,            0.000595,            0.000595,            0.000595
